site,gamma_ss,gamma_sdiv
ABBY,271.2736656303724,0.01349687375642432
BART,402.45131449606623,0.03627975430416174
BLAN,47.788740197215084,0.01667436852659284
CLBJ,1185.548462423148,0.029279308054213235
CPER,313.112918290016,0.009173857147168733
DCFS,2436.0690611494083,0.0472143007432632
DELA,116.76627453596161,0.04232195525043915
GUAN,826.7592564255411,0.05344619926469333
HARV,1888.9728665196144,0.04845880984376015
JORN,10.094687507488016,4.8097424754564593e-4
KONZ,399.4679886804365,0.02147561898179864
LAJA,79.8195625903783,0.02970582902507566
LENO,249.7681688385331,0.028273507905652376
MOAB,85.85535994253796,0.0025117860783048463
NOGP,28.396798388743402,0.007474808736178837
ONAQ,328.33622278888066,0.008517373285659309
RMNP,413.79674391293145,0.011481915256054038
SCBI,93.80820098854419,0.010280350793265116
SERC,1047.751941887678,0.05728864026943398
SJER,60.26548481484797,0.0062815806561234075
SOAP,65.49111868656242,0.026579187778637343
SRER,774.3929168662314,0.007060153319653839
TALL,137.22309486325042,0.004528815011988463
TEAK,790.5204708893132,0.024401039321212247
UNDE,816.1042858422741,0.031226488840339548
WOOD,204.43130691569934,0.025861012892561586
WREF,310.96573120400825,0.005339475801507723
